SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
226t2	226	t2	308	Live	NonNative	CPNWR39	WLE	Native	BACOOM	NO	YES	NO	23	3	One
227t0	227	t0	148	Live	NonNative	CPNWR39	WLE	Native	FUN	YES	NO	YES	3	3	One
227t2	227	t2	148	Live	NonNative	CPNWR39	WLE	Native	FUN	YES	NO	YES	3	3	One
228t0	228	t0	207	Live	NonNative	CPNWR39	WLE	Native	FUNBAC	NO	NO	YES	15	3	Two
228t2	228	t2	207	Live	NonNative	CPNWR39	WLE	Native	FUNBAC	NO	NO	YES	15	3	Two
229t0	229	t0	76	Live	NonNative	CPNWR39	WLE	Native	FUNOOM	YES	NO	NO	19	3	One
229t1	229	t1	76	Live	NonNative	CPNWR39	WLE	Native	FUNOOM	YES	NO	NO	19	3	One
229t2	229	t2	76	Live	NonNative	CPNWR39	WLE	Native	FUNOOM	YES	NO	NO	19	3	One
230t0	230	t0	318	Live	NonNative	CPNWR39	WLE	Native	NONE	YES	YES	YES	27	3	One
230t2	230	t2	318	Live	NonNative	CPNWR39	WLE	Native	NONE	YES	YES	YES	27	3	One
231t0	231	t0	35	Live	NonNative	CPNWR39	WLE	Native	OOM	YES	YES	NO	11	3	One
231t1	231	t1	35	Live	NonNative	CPNWR39	WLE	Native	OOM	YES	YES	NO	11	3	One
231t2	231	t2	35	Live	NonNative	CPNWR39	WLE	Native	OOM	YES	YES	NO	11	3	One
232t0	232	t0	153	Live	NonNative	CPNWR39	WLE	NonNative	FUNBAC	NO	NO	YES	16	3	One
232t2	232	t2	153	Live	NonNative	CPNWR39	WLE	NonNative	FUNBAC	NO	NO	YES	16	3	One
234t0	234	t0	101	Live	NonNative	CPNWR39	WLE	NonNative	FUNOOM	YES	NO	NO	20	3	Two
234t2	234	t2	101	Live	NonNative	CPNWR39	WLE	NonNative	FUNOOM	YES	NO	NO	20	3	Two
235t0	235	t0	280	Live	NonNative	CPNWR39	WLE	NonNative	FUN	YES	NO	YES	4	3	One
